,,,,revised,,abc,dogtime,petguide,,,koinuno,,,Audio,,Handbook,
code,sku,eng,jap,,wiki,eng1,eng2,eng3,eng5,Jwiki,jap1,jap2,jap3,eng,jap,,
poster-001,,,グループで人気の犬種,,, , , , , , , , ,,,page,order
poster-002,,Popular Dog Breeds in Groups,,,, , , , , , , , ,,,,
poster-048,P12003,Harrier,ハリヤー,,https://en.wikipedia.org/wiki/Harrier_(dog),https://www.akc.org/dog-breeds/harrier/,https://dogtime.com/dog-breeds/harrier#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%BC%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/hagyou/harrier.html, , ,,,4,8
poster-049,P12003,Ibizan Hound,イビザン ハウンド,,https://en.wikipedia.org/wiki/Ibizan_Hound,https://www.akc.org/dog-breeds/ibizan-hound/,https://dogtime.com/dog-breeds/ibizan-hound#/slide/1, , , ,https://www.koinuno-heya.com/syurui/agyou/ibizan-hound.html, , ,,,4,9
poster-050,P12003,Schweizer Laufhund (Swiss Hound),スイス ハウンド,,https://en.wikipedia.org/wiki/Schweizer_Laufhund, ,https://doglime.com/schweizer-laufhund/,https://www.petguide.com/breeds/dog/schweizer-laufhund/, ,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%8F%E3%82%A6%E3%83%B3%E3%83%89,https://www.koinuno-heya.com/syurui/sagyou/swiss-hound.html,https://www.eukanuba.co.uk/breeds/swiss-hound-(schweizer-laufhund), , ,,5,5
poster-051,P12003,Pharaoh Hound,ファラオ ハウンド,,https://en.wikipedia.org/wiki/Pharaoh_Hound,https://www.akc.org/dog-breeds/pharaoh-hound/,https://dogtime.com/dog-breeds/pharaoh-hound#/slide/1, , ,https://ja.wikipedia.org/wiki/ファラオ・ハウンド,https://www.koinuno-heya.com/syurui/hagyou/pharaoh-hound.html, , ,,,4,11
poster-052,P12003,Italian Greyhound,イタリアン グレーハウンド,,https://en.wikipedia.org/wiki/Italian_Greyhound,https://www.akc.org/dog-breeds/italian-greyhound/,https://dogtime.com/dog-breeds/italian-greyhound#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B0%E3%83%AC%E3%82%A4%E3%83%8F%E3%82%A6%E3%83%B3%E3%83%89,https://www.koinuno-heya.com/syurui/agyou/italian-greyhound.html, , ,,,4,7
poster-053,P12003,Kishu,紀州犬,,https://en.wikipedia.org/wiki/Kishu,https://www.akc.org/dog-breeds/kishu-ken/, , , ,https://ja.wikipedia.org/wiki/%E7%B4%80%E5%B7%9E%E7%8A%AC,https://www.koinuno-heya.com/syurui/kagyou/kishu-ken.html, , ,,,4,10
poster-054,P12003,Rhodesian Ridgeback,ローデシアン リッジバック,,https://en.wikipedia.org/wiki/Rhodesian_Ridgeback,https://www.akc.org/dog-breeds/rhodesian-ridgeback/,https://dogtime.com/dog-breeds/rhodesian-ridgeback#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%87%E3%82%B7%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%AA%E3%83%83%E3%82%B8%E3%83%90%E3%83%83%E3%82%AF,https://www.koinuno-heya.com/syurui/yarawagyou/rhodesian-ridgeback.html, , ,,,4,12
poster-055,P12003,Saluki,サルーキ,,https://en.wikipedia.org/wiki/Saluki,https://www.akc.org/dog-breeds/saluki/,https://dogtime.com/dog-breeds/saluki#/slide/1, , ,https://ja.wikipedia.org/wiki/サルーキ,https://www.koinuno-heya.com/syurui/sagyou/saluki.html, , ,,,4,13
poster-056,P12003,Scottish Deerhound,スコティッシュ ディアハウンド,,https://en.wikipedia.org/wiki/Scottish_Deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/,https://dogtime.com/dog-breeds/scottish-deerhound#/slide/1, , ,https://ja.wikipedia.org/wiki/スコティッシュ・ディアハウンド,https://www.koinuno-heya.com/syurui/sagyou/scottish-deerhound.html, , ,,,5,9
poster-057,P12003,whippet,ウィペット,,https://en.wikipedia.org/wiki/Whippet,https://www.akc.org/dog-breeds/whippet/,https://dogtime.com/dog-breeds/whippet#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A3%E3%83%9A%E3%83%83%E3%83%88,https://www.koinuno-heya.com/syurui/agyou/whippet.html, , ,,,5,10
